Sensor,Nilai Sensor
Ultrasonic,71
PIR,1
Light Intensity,987
Ultrasonic,69
PIR,1
Light Intensity,976
Ultrasonic,70
PIR,0
Light Intensity,981
Ultrasonic,71
PIR,0
Light Intensity,995
Ultrasonic,70
PIR,0
Light Intensity,999
Ultrasonic,34
PIR,1
Light Intensity,992
Ultrasonic,38
PIR,0
Light Intensity,990
Ultrasonic,71
PIR,0
Light Intensity,987
Ultrasonic,39
PIR,1
Light Intensity,986
Ultrasonic,85
PIR,0
Light Intensity,986
Ultrasonic,80
PIR,0
Light Intensity,987
Ultrasonic,44
PIR,0
Light Intensity,988
Ultrasonic,45
PIR,1
Light Intensity,987
Ultrasonic,82
PIR,0
Light Intensity,985
Ultrasonic,89
PIR,0
Light Intensity,987
Ultrasonic,121
PIR,0
Light Intensity,987
Ultrasonic,78
PIR,1
Light Intensity,986
Ultrasonic,77
PIR,0
Light Intensity,986
Ultrasonic,87
PIR,0
Light Intensity,987
Ultrasonic,95
PIR,1
Light Intensity,987
Ultrasonic,83
PIR,0
Light Intensity,986
Ultrasonic,83
PIR,0
Light Intensity,989
Ultrasonic,84
PIR,1
Light Intensity,988
Ultrasonic,29
PIR,0
Light Intensity,986
Ultrasonic,33
PIR,0
Light Intensity,986
Ultrasonic,55
PIR,1
Light Intensity,985
Ultrasonic,47
PIR,0
Light Intensity,984
Ultrasonic,16
PIR,0
Light Intensity,987
Ultrasonic,21
PIR,0
Light Intensity,986
Ultrasonic,8
PIR,0
Light Intensity,987
Ultrasonic,9
PIR,0
Light Intensity,985
Ultrasonic,8
PIR,1
Light Intensity,987
Ultrasonic,42
PIR,0
Light Intensity,987
Ultrasonic,39
PIR,0
Light Intensity,986
Ultrasonic,7
PIR,1
Light Intensity,986
Ultrasonic,6
PIR,0
Light Intensity,987
Ultrasonic,8
PIR,0
Light Intensity,989
Ultrasonic,38
PIR,1
Light Intensity,987
Ultrasonic,38
PIR,0
Light Intensity,986
Ultrasonic,39
PIR,0
Light Intensity,986
Ultrasonic,45
PIR,0
Light Intensity,991
Ultrasonic,40
PIR,0
Light Intensity,986
Ultrasonic,46
PIR,0
Light Intensity,986
Ultrasonic,50
PIR,1
Light Intensity,985
Received command, OPEN!
Light Intensity,873
Ultrasonic,16
PIR,0
Light Intensity,851
Ultrasonic,16
PIR,0
Light Intensity,850
Ultrasonic,16
PIR,1
Light Intensity,851
Ultrasonic,15
PIR,0
Light Intensity,848
Ultrasonic,15
PIR,0
Light Intensity,850
Ultrasonic,14
PIR,0
Light Intensity,832
Ultrasonic,14
PIR,0
Light Intensity,823
Ultrasonic,16
PIR,0
Light Intensity,828
Ultrasonic,14
PIR,1
Light Intensity,843
Ultrasonic,14
PIR,0
Light Intensity,842
Ultrasonic,14
PIR,1
Light Intensity,846
Ultrasonic,15
PIR,0
Light Intensity,846
Ultrasonic,14
PIR,0
Light Intensity,845
Ultrasonic,15
PIR,0
Light Intensity,848
Ultrasonic,15
PIR,0
Light Intensity,845
Received command, CLOSE!
Ultrasonic,16
PIR,0
Light Intensity,851
Ultrasonic,42
PIR,0
Light Intensity,967
Ultrasonic,36
PIR,0
Light Intensity,970
Ultrasonic,42
PIR,0
Light Intensity,972
Ultrasonic,42
PIR,1
Light Intensity,974
Ultrasonic,40
PIR,0
Light Intensity,965
Ultrasonic,40
PIR,0
Light Intensity,973
Ultrasonic,41
PIR,1
Light Intensity,973
Ultrasonic,42
PIR,0
Light Intensity,973
Ultrasonic,42
PIR,0
Light Intensity,966
Ultrasonic,51
PIR,0
Light Intensity,973
Ultrasonic,49
PIR,1
Light Intensity,974
Ultrasonic,47
PIR,0
Light Intensity,975
Ultrasonic,47
PIR,0
Light Intensity,975
Ultrasonic,49
PIR,0
Light Intensity,973
Ultrasonic,74
PIR,1
Light Intensity,974
Ultrasonic,47
PIR,0
Light Intensity,974
Ultrasonic,41
PIR,0
Light Intensity,974
Ultrasonic,41
PIR,0
Light Intensity,976
Received command, DANGER!
Ultrasonic,43
PIR,0
Light Intensity,973
Ultrasonic,43
PIR,0
Light Intensity,973
Ultrasonic,40
PIR,1
Light Intensity,975
Ultrasonic,41
PIR,0
Light Intensity,973
Ultrasonic,83
PIR,0
Light Intensity,975
Ultrasonic,72
PIR,1
Light Intensity,974
Ultrasonic,77
PIR,0
Light Intensity,974
Ultrasonic,38
PIR,0
Light Intensity,974
Ultrasonic,23
PIR,0
Light Intensity,974
